order_id,merchant_id,amount,hour_of_day,device_age_days,customer_account_age_days,ip_country_mismatch,billing_shipping_mismatch,velocity_txns_last_hour,amount_vs_customer_avg_ratio,payment_method_risk_score,cod_to_prepaid_flip,new_payment_instrument,failed_attempts_before_success,is_fraud
order_000000,merch_004,3628.2611834422933,22,0.0,36.07191123065486,1,1,5,8.706346293047885,0.7941329157153495,1,0,2,0
order_000001,merch_019,469.61989285155033,21,109.95226921509882,118.41863438386682,0,0,0,1.72607851003292,0.4735105481948048,0,0,0,0
order_000002,merch_012,1042.9068152940097,14,167.6087357274219,923.2159819891201,0,0,0,0.7587459833889012,0.19886645773000675,0,0,0,0
order_000003,merch_007,640.4254411830555,10,250.5662012124192,116.88061992732602,0,0,0,1.257617312670522,0.2880056104839228,0,0,1,0
order_000004,merch_011,805.0778985306483,12,178.20738188552724,727.5223912978437,0,0,0,1.009928963322248,0.1890654603977292,1,0,1,0
order_000005,merch_013,284.1452559746572,13,33.25926672582366,54.40127392848296,0,0,0,0.8932977447186617,0.2638979215488457,0,0,0,0
order_000006,merch_010,103.92950649646853,16,64.51167135708056,300.7344526240997,0,0,0,0.5527538195229151,0.17563753318325123,0,0,0,0
order_000007,merch_020,274.4657401870221,22,196.91035471061485,60.4059250013934,0,0,0,0.9810409264133177,0.039556239608092854,0,0,0,0
order_000008,merch_001,616.0506295489351,11,0.0,20.828189208030103,1,0,1,3.3548365487764427,0.5599307448226369,1,1,5,1
order_000009,merch_010,483.4519131525339,16,2.1270403685414543,228.56303399323562,0,0,1,0.12934351267545036,0.06391917028103485,0,0,1,0
order_000010,merch_009,427.62216619081784,20,157.55512003668167,25.37129881938119,0,0,1,1.5141539739339867,0.16218947012144166,0,0,0,0
order_000011,merch_003,1105.1007848130932,10,433.7379222582451,219.09066823852427,0,0,0,1.2371819829574031,0.12255816257755897,0,0,0,0
order_000012,merch_009,2406.434964161309,8,112.29802709977523,182.424056519071,0,0,0,1.0088929674604066,0.21714695449066299,0,0,0,0
order_000013,merch_006,904.5898414155681,17,109.91304821684626,60.541474358987784,0,0,0,1.9184735266252932,0.07596578457351538,0,0,0,0
order_000014,merch_012,999.0748566727407,15,170.08903840178132,101.2596365307192,0,0,0,1.6363338503377336,0.057712901861207526,0,0,1,0
order_000015,merch_015,211.13890340043116,18,1.068063403400689,72.53480797965915,0,0,1,0.924373154035402,0.2736746867153437,0,0,0,0
order_000016,merch_009,3152.888346192937,2,0.6497751566421526,31.818583664932707,0,0,5,3.8603429582493822,0.6523592946829275,1,0,2,1
order_000017,merch_018,50.0,11,16.595491740447443,117.12074622126943,0,0,2,0.9498017945339081,0.5053642626451896,0,1,1,0
order_000018,merch_014,852.2262610808241,13,104.08100663613554,186.70444065613282,0,0,0,2.059973694046055,0.11766465337085873,0,0,0,0
order_000019,merch_019,223.8239087990928,13,250.40748330249528,61.793902571377835,0,0,0,1.4720663104383314,0.1553391732530384,1,0,2,0
order_000020,merch_008,1822.6007926031562,12,176.12205072794632,96.19785701926484,0,0,1,1.778433479821956,0.0865415607764851,0,0,0,0
order_000021,merch_016,72.17096058614403,12,28.777465079449335,108.63928525998074,1,0,0,0.5653960639499823,0.12571291761225253,0,0,0,0
order_000022,merch_006,135.83528056808828,3,349.9960262314654,276.87984203364647,0,0,0,0.9408715055413728,0.03268540506389981,0,0,0,0
order_000023,merch_001,3341.9439298713073,23,82.2075318060466,455.82261770786016,1,0,1,0.9899458874876534,0.34515071766498934,0,0,0,0
order_000024,merch_007,2654.114439423271,13,353.9996012637223,448.23828922521676,0,1,1,1.5556961888573022,0.06035070098194003,0,0,1,0
order_000025,merch_020,2137.222207890741,9,0.0,918.2121055457264,0,0,2,0.6690122811902123,0.0433818819926528,0,0,0,0
order_000026,merch_020,473.38089760999935,7,266.3619783677824,518.7281567468373,0,0,0,0.5723532731096455,0.2589493242885885,0,1,0,0
order_000027,merch_019,8356.332260497458,13,98.38762386722094,133.3127040768415,0,0,0,0.8464933111829817,0.4456457616735004,0,0,0,0
order_000028,merch_014,5336.267255575932,12,170.50415046659538,1297.3006555806353,0,0,1,0.6260883833023205,0.2812073672833356,0,1,0,0
order_000029,merch_003,218.9259934016222,8,34.186803067488775,981.8586615454565,0,0,0,1.2370782622232261,0.1961544760180786,0,0,1,0
order_000030,merch_006,2449.784686786157,13,169.70246626763122,101.48463609205025,0,0,0,0.5319407974429056,0.19666918778842096,0,0,0,0
order_000031,merch_014,795.2546499655539,22,93.64102917025507,247.15125443246222,0,0,0,2.1933806850801276,0.24698220221151299,0,0,1,0
order_000032,merch_019,606.4728159052748,7,359.8498908045374,52.054005777678654,0,0,0,0.9195009663369706,0.061971054394935686,0,0,0,0
